Tanggal & Waktu,ID Struk,Tipe Penjualan,Nama Pelanggan,Nama Produk,Kategori,Jumlah Produk,Harga Produk,Metode Pembayaran
30-06-2024 18:43:08,NL9GHR49YYJYP,dinein,NL9GHR49YYJYP,Beef Mushroom,Teriyaki Rice,1,"35,000",non-tunai
30-06-2024 18:31:37,BMV8HGQBRR6ML,onlineorder,BMV8HGQBRR6ML,Kopi susu diagram - Creamy,Coffee,1,"20,000",non-tunai
30-06-2024 18:30:30,RQ7Z2784YYZQB,dinein,RQ7Z2784YYZQB,Rice Chicken Katsu Mentai,Curry,1,"28,000",non-tunai
30-06-2024 18:27:47,BMV8HGQBRR6VW,dinein,Lt 2,Coffee Latte - Ice,Coffee,2,"20,000",tunai
30-06-2024 18:27:47,BMV8HGQBRR6VW,dinein,Lt 2,Sausage French Fries,Light Meal,1,"27,500",tunai
30-06-2024 18:25:30,BMV8HGQBRRQLN,dinein,Lt 2,Banana Cinnamon French Toast,Light Meal,1,"25,000",non-tunai
30-06-2024 18:25:30,BMV8HGQBRRQLN,dinein,Lt 2,Kopi susu diagram - Creamy,Coffee,1,"20,000",non-tunai
30-06-2024 18:16:59,9Y47FR6DZZ4PJ,onlineorder,9Y47FR6DZZ4PJ,Banana Cinnamon French Toast,Light Meal,1,"25,000",non-tunai
30-06-2024 18:16:59,9Y47FR6DZZ4PJ,onlineorder,9Y47FR6DZZ4PJ,Calamari,Light Meal,1,"27,500",non-tunai
30-06-2024 18:16:59,9Y47FR6DZZ4PJ,onlineorder,9Y47FR6DZZ4PJ,Moroco Mint,Non Coffee,1,"22,000",non-tunai
30-06-2024 18:05:47,L6K7CLZY44W9P,dinein,Lt 2,Mie Statistika Bisnis,MEE TIME,2,"20,000",tunai
30-06-2024 18:05:47,L6K7CLZY44W9P,dinein,Lt 2,Ebi Furai Curry,Curry,1,"35,000",tunai
30-06-2024 18:05:47,L6K7CLZY44W9P,dinein,Lt 2,Mineral Water,Non Coffee,1,"10,000",tunai
30-06-2024 18:04:22,GD6YSZW4BBYNM,dinein,Lt 2,Mango Yuogi,Signature drinks,1,"20,000",tunai
30-06-2024 18:04:22,GD6YSZW4BBYNM,dinein,Lt 2,Caramel Machiato - Hot,Coffee,1,"22,000",tunai
30-06-2024 17:53:39,QDLVSLGQVVL6P,takeaway,QDLVSLGQVVL6P,Kopi susu diagram - Creamy,Coffee,1,"20,000",non-tunai
30-06-2024 17:53:39,QDLVSLGQVVL6P,takeaway,QDLVSLGQVVL6P,Kopi susu diagram - Strong,Coffee,1,"20,000",non-tunai
30-06-2024 17:11:24,P7WL2PJLN6DMV,dinein,lt2,Coffee Latte - Hot,Coffee,1,"20,000",non-tunai
30-06-2024 17:03:34,D84KHVY4GJPNG,takeaway,D84KHVY4GJPNG,Kopi susu diagram - Creamy,Coffee,1,"20,000",tunai
30-06-2024 17:03:34,D84KHVY4GJPNG,takeaway,D84KHVY4GJPNG,Matcha Latte - Ice,Non Coffee,1,"18,000",tunai
30-06-2024 16:43:43,YBMWF8RLJQZYB,takeaway,YBMWF8RLJQZYB,Kopi susu diagram - Creamy,Coffee,1,"20,000",non-tunai
30-06-2024 16:32:07,6GBJ3WJ4VBNGK,onlineorder,6GBJ3WJ4VBNGK,Kampung Fried Rice - Sedang,Fried Rice & Noodle,1,"20,000",non-tunai
30-06-2024 16:32:07,6GBJ3WJ4VBNGK,onlineorder,6GBJ3WJ4VBNGK,Cherry bomb bliss,Fresh fruity,1,"22,000",non-tunai
30-06-2024 16:31:58,WP9KCMKLY6Q77,onlineorder,WP9KCMKLY6Q77,Chicken Teriyaki,Teriyaki Rice,2,"27,500",non-tunai
30-06-2024 16:31:58,WP9KCMKLY6Q77,onlineorder,WP9KCMKLY6Q77,Kopi susu diagram - Strong,Coffee,1,"20,000",non-tunai
30-06-2024 16:31:49,M8GQHGK6NQPZQ,onlineorder,M8GQHGK6NQPZQ,Rice Chicken Katsu Mentai,Curry,1,"28,000",non-tunai
30-06-2024 16:31:49,M8GQHGK6NQPZQ,onlineorder,M8GQHGK6NQPZQ,Oglio Olio - Oglio Olio Beef,Spaghetti,1,"25,000",non-tunai
30-06-2024 16:31:49,M8GQHGK6NQPZQ,onlineorder,M8GQHGK6NQPZQ,Kopi susu diagram - Creamy,Coffee,1,"20,000",non-tunai
30-06-2024 16:31:39,YBMWF8RLJQP7L,onlineorder,YBMWF8RLJQP7L,Kampung Fried Rice - Sedang,Fried Rice & Noodle,1,"20,000",non-tunai
30-06-2024 16:31:31,7B4RFJNMZ7V4Z,onlineorder,7B4RFJNMZ7V4Z,Kampung Fried Rice - Sedang,Fried Rice & Noodle,1,"20,000",non-tunai
30-06-2024 16:31:31,7B4RFJNMZ7V4Z,onlineorder,7B4RFJNMZ7V4Z,Mie Tek-Tek - Rebus,Fried Rice & Noodle,1,"22,000",non-tunai
30-06-2024 16:31:31,7B4RFJNMZ7V4Z,onlineorder,7B4RFJNMZ7V4Z,Dory butter rice with mushroom sauce,Teriyaki Rice,1,"30,000",non-tunai
30-06-2024 16:28:25,QDLVSLGQVKDNV,dinein,QDLVSLGQVKDNV,Mineral Water,Non Coffee,1,"10,000",non-tunai
30-06-2024 16:27:08,WP9KCMKLY6QZV,dinein,Lt 1,Sandwich,Light Meal,1,"28,000",non-tunai
30-06-2024 16:27:08,WP9KCMKLY6QZV,dinein,Lt 1,Diagram Banana split,Dessert,1,"20,000",non-tunai
30-06-2024 16:27:08,WP9KCMKLY6QZV,dinein,Lt 1,Americano,Coffee,1,"18,000",non-tunai
30-06-2024 15:54:23,D84KHVY4GJWMJ,dinein,lt 1,Fish n chips,Light Meal,1,"30,000",non-tunai
30-06-2024 15:54:23,D84KHVY4GJWMJ,dinein,lt 1,Kopi susu diagram - Creamy,Coffee,1,"20,000",non-tunai
30-06-2024 15:41:13,QDLVSLGQVKBJ4,dinein,Lt 2,Lamb Fried Rice - Tidak Pedas,Fried Rice & Noodle,1,"25,000",non-tunai
30-06-2024 15:19:27,ZVLYFRMB6MQBB,dinein,lt1,Tofu with Rujak sauce,Light Meal,1,"25,000",non-tunai
30-06-2024 15:18:39,QDLVSLGQVG6WK,dinein,lt1,Choco Hazelnut,Non Coffee,1,"20,000",non-tunai
30-06-2024 15:14:14,JGDR3GR78R7BB,takeaway,JGDR3GR78R7BB,Koyak coffee,Coffee,1,"18,000",tunai
30-06-2024 15:14:14,JGDR3GR78R7BB,takeaway,JGDR3GR78R7BB,Gelato 1 scoop - Sticky Mango Dream,GELATO,1,"20,000",tunai
30-06-2024 15:09:59,D84KHVY4GY4G9,dinein,lt1,Kopi susu diagram - Creamy,Coffee,1,"20,000",non-tunai
30-06-2024 15:05:54,7B4RFJNMZN88M,dinein,lt1,Jelly Spanish Latte,Coffee,1,"22,000",non-tunai
30-06-2024 14:29:05,WP9KCMKLYKJ6N,dinein,lt3,Choco Hazelnut,Non Coffee,1,"20,000",non-tunai
30-06-2024 14:28:19,JGDR3GR78RPY8,dinein,lt3,Creamy cherry,Non Coffee,1,"20,000",non-tunai
30-06-2024 14:28:19,JGDR3GR78RPY8,dinein,lt3,Tofu Salt n Pepper,Light Meal,1,"20,000",non-tunai
30-06-2024 14:12:43,4QBY2PZK8Z8Q7,takeaway,4QBY2PZK8Z8Q7,Magic Coffee,Coffee,1,"20,000",non-tunai
30-06-2024 14:02:14,BMV8HGQBRQ68L,dinein,lt2,Mango Yuogi,Signature drinks,1,"20,000",tunai
30-06-2024 14:02:14,BMV8HGQBRQ68L,dinein,lt2,Blackcurrant Tea,Non Coffee,1,"18,000",tunai
30-06-2024 14:02:14,BMV8HGQBRQ68L,dinein,lt2,Mineral Water,Non Coffee,1,"10,000",tunai
30-06-2024 13:58:02,KLQ6HDGRVGG8J,takeaway,KLQ6HDGRVGG8J,Kopi susu diagram - Strong,Coffee,1,"20,000",non-tunai
30-06-2024 13:58:02,KLQ6HDGRVGG8J,takeaway,KLQ6HDGRVGG8J,Caramel Machiato - Ice,Coffee,1,"22,000",non-tunai
30-06-2024 13:54:09,M8GQHGK6NKKGD,dinein,M8GQHGK6NKKGD,French Fries,Light Meal,1,"17,000",tunai
30-06-2024 13:54:09,M8GQHGK6NKKGD,dinein,M8GQHGK6NKKGD,Beef Mushroom,Teriyaki Rice,1,"35,000",tunai
30-06-2024 13:54:09,M8GQHGK6NKKGD,dinein,M8GQHGK6NKKGD,Mineral Water,Non Coffee,1,"10,000",tunai
30-06-2024 13:51:41,GD6YSZW4BW7R4,dinein,GD6YSZW4BW7R4,Mineral Water,Non Coffee,1,"10,000",non-tunai
30-06-2024 13:13:24,GD6YSZW4B766R,dinein,GD6YSZW4B766R,Tofu Salt n Pepper,Light Meal,1,"20,000",tunai
30-06-2024 12:38:45,4QBY2PZK8MJJL,dinein,lt2,Kampung Fried Rice - Sedang,Fried Rice & Noodle,1,"20,000",non-tunai
30-06-2024 12:38:45,4QBY2PZK8MJJL,dinein,lt2,Mineral Water,Non Coffee,1,"10,000",non-tunai
30-06-2024 12:32:21,9Y47FR6DZ4VJM,dinein,AA biasa,Kopi susu diagram - Strong,Coffee,1,"20,000",tunai
30-06-2024 12:20:38,6GBJ3WJ4VKZYG,dinein,lt2,Chicken Katsudon,KATSU,1,"35,000",non-tunai
30-06-2024 12:20:38,6GBJ3WJ4VKZYG,dinein,lt2,Mineral Water,Non Coffee,1,"10,000",non-tunai
30-06-2024 12:04:16,9Y47FR6DZ4BY9,dinein,9Y47FR6DZ4BY9,Kopi susu diagram - Creamy,Coffee,1,"20,000",non-tunai
30-06-2024 11:29:47,4QBY2PZK8MYVL,dinein,4QBY2PZK8MYVL,Kopi susu diagram - Creamy,Coffee,1,"20,000",non-tunai
